SRRacc	Mapped_reads	Ref_recovery%	Avg_fold(x)	Fold_std
ERR4364963	1449899	99.7924	6731.29	8491.87
ERR4365125	1730349	92.6984	7975.84	14620.46
ERR4365209	3248384	99.8159	15139.40	15217.73
ERR4421397	628713	99.9431	2966.24	1732.06
ERR4421538	493422	99.9263	2297.76	1330.58
ERR4439734	55776	99.7891	410.32	349.82
ERR4439752	64853	99.7891	486.27	397.36
ERR4439843	50135	99.7054	374.82	270.87
ERR4439934	61181	99.7757	458.71	413.24
ERR4440037	71452	99.7054	536.26	379.38
ERR4440121	75830	99.8092	550.29	434.98
ERR4440187	22265	98.9588	166.01	155.86
ERR4780288	42736	98.7111	321.02	262.45
ERR5505783	107737	96.5082	487.72	922.16
ERR5509766	33717	77.6230	252.75	276.14
ERR5514445	136807	91.4463	639.03	1381.01
ERR5515580	460930	75.0954	2130.13	5150.98
ERR5627824	20807	85.4737	94.35	108.99
ERR5628809	169643	99.8694	765.22	611.15
ERR5629480	17536	67.5494	80.16	147.71
ERR5629600	44880	95.5809	204.01	218.76
ERR5629633	98607	99.5581	450.69	355.47
ERR5629849	88802	99.8226	413.08	214.57
ERR5630017	25719	91.0613	116.86	117.28
ERR5631335	348972	99.8694	1634.15	1519.58
ERR5631732	40916	98.9856	183.48	140.94
ERR5631741	300153	99.8694	1356.68	1183.09
ERR5631815	17683	89.9263	81.09	79.91
ERR5632024	91977	99.8293	425.72	241.79
ERR5632429	11125	66.5316	51.89	76.79
ERR5633087	830539	99.8326	3810.44	3254.38
ERR5633327	6748	77.1242	28.42	34.50
ERR5633724	17314	64.6635	81.22	136.85
ERR5634532	9753	58.7780	43.61	66.15
ERR5666611	991379	99.8795	4434.63	3252.51
ERR5705739	626282	99.8661	1475.53	745.03
ERR5706286	456643	99.8125	1050.34	618.32
ERR5970893	832177	99.7757	3814.18	2452.56
ERR5970923	690155	99.7556	3132.42	2900.76
ERR5971192	562763	99.8192	2580.39	2100.71
ERR5971795	843210	99.8326	3968.95	3136.23
ERR5972291	956136	99.9766	4509.61	2787.84
ERR4365002	1731164	99.7121	19741.88	35084.47
ERR4365199	616142	99.7087	6887.92	4877.01
ERR4365241	3710847	91.8514	42166.16	73523.41
ERR4365248	60513	99.7087	680.51	533.88
ERR4365302	2565028	99.7121	29157.22	41820.92
ERR4365335	1018159	99.5815	11389.65	17030.03
ERR4807226	43670	98.7379	517.50	817.85
ERR5495454	204862	88.4031	2302.29	3390.41
ERR5495833	353246	88.6676	3979.81	4685.38
ERR5497159	140144	69.7958	1573.23	2932.99
ERR5497385	66871	67.7536	748.74	1534.01
ERR5501241	265992	83.9638	2987.03	4329.74
ERR5504174	32295	90.8939	365.76	630.05
ERR5505512	408287	92.4272	4592.45	5500.10
ERR5505820	145901	77.6699	1640.42	2685.47
ERR5506471	5563	95.0418	62.59	68.67
ERR5506735	16049	92.2899	182.73	286.96
